"","510","520","530","550","560","570","610","620","630","700","dye","sample","pH","well_plate_96_num","well_plate_96_index","well_plate_384_num","well_plate_384_index","plate_number","media","norm_pH"
"58",0.177481239419361,0.211328517352637,0.259929736949137,0.415280063873663,0.426996429312105,0.364075207513065,0.35756611560282,0.362773389131016,0.330661869040472,-0.0121503048991249,"universal",24,9.94,60,"E12",216,"I24",8,"THY",0.42
"59",0.266063324961602,0.227878310731002,0.211865240247202,0.236500733299202,0.266063324961602,0.299321240581803,0.455756621462004,0.468074367988004,0.433584677715204,0.0357214649254003,"universal",13,7.07,61,"F1",242,"K2",8,"THY",0.01
"60",0.202854281453806,0.181803365453882,0.180846505635704,0.222948337635551,0.262179590180862,0.302367702544352,0.482257348361878,0.492782806361839,0.455465273452884,0.0191371963635666,"universal",14,7.37,62,"F2",244,"K4",8,"THY",0.0528571428571429
"61",0.159258220808171,0.153547766675607,0.16306519022988,0.218266246844664,0.259508415579848,0.303923058833122,0.492368045207731,0.505692438183713,0.46762274396662,0.0171313623976917,"universal",15,7.92,63,"F3",246,"K6",8,"THY",0.131428571428571
"62",0.138866827215213,0.138124223861121,0.155204101005238,0.21758278274897,0.262138983994493,0.306695185240016,0.499029453949857,0.509425900907145,0.467840113077991,0.0029704134163682,"universal",16,8.35,64,"F4",248,"K8",8,"THY",0.192857142857143
"63",0.120726086885195,0.124857397843244,0.14275974532812,0.212992031614945,0.257977417602584,0.302503769039329,0.502642833229234,0.516413869756063,0.476018829277366,-0.0100987601196741,"universal",17,8.65,65,"F5",250,"K10",8,"THY",0.235714285714286
"64",0.125594546687688,0.133677364048777,0.154817040223932,0.234401703471576,0.275437545458642,0.31149934599273,0.49367361420804,0.506108717840484,0.463207610308551,-0.0111915932691999,"universal",18,8.9,66,"F6",252,"K12",8,"THY",0.271428571428571
"65",0.113901538809985,0.122883022157009,0.149827472198081,0.241275302640506,0.282916725431253,0.313127169416697,0.491123839384989,0.505412562891618,0.464179389343918,-0.0326599394437233,"universal",19,9.11,67,"F7",254,"K14",8,"THY",0.301428571428571
"66",0.124995029575863,0.141984645246368,0.177784192552076,0.294891186280918,0.328263645633697,0.333117821539556,0.46357379900951,0.473282150821227,0.431414883633195,-0.0436875831527287,"universal",20,9.32,68,"F8",256,"K16",8,"THY",0.331428571428571
"67",0.144898651144493,0.164530081299554,0.199742011577678,0.316595762500657,0.348379982751707,0.340589732690175,0.442174593492551,0.452146113571312,0.41755740329811,-0.0112179600886059,"universal",21,9.52,69,"F9",258,"K18",8,"THY",0.36
